Date,Forecast,Lower_CI,Upper_CI
2024-12-09,24615.017139143663,24248.12606728702,24981.908211000307
2024-12-10,24614.09815263162,24078.96808512922,25149.22822013402
2024-12-11,24613.99579654316,23948.779248477113,25279.21234460921
2024-12-12,24613.97895581771,23839.937173741448,25388.020737893974
2024-12-13,24613.976744002815,23744.58118661028,25483.37230139535
2024-12-16,24613.976414626406,23658.69266709709,25569.260162155722
2024-12-17,24613.976368964835,23579.913021604254,25648.039716325417
2024-12-18,24613.97636237438,23506.72427243455,25721.228452314208
2024-12-19,24613.976361444657,23438.082060808563,25789.87066208075
2024-12-20,24613.976361311794,23373.231574392405,25854.721148231183
2024-12-23,24613.976361292946,23311.606272993555,25916.346449592336
2024-12-24,24613.97636129026,23252.7680496731,25975.18467290742
2024-12-25,24613.97636128988,23196.36982619382,26031.58289638594
2024-12-26,24613.976361289824,23142.131087804773,26085.821634774875
2024-12-27,24613.976361289817,23089.82127409765,26138.131448481985
2024-12-30,24613.976361289817,23039.248146470738,26188.704576108896
2024-12-31,24613.976361289817,22990.24942264502,26237.703299934612
2025-01-01,24613.976361289817,22942.6866221918,26285.266100387835
2025-01-02,24613.976361289817,22896.440448201578,26331.512274378056
2025-01-03,24613.976361289817,22851.407260947544,26376.54546163209
2025-01-06,24613.976361289817,22807.496343627045,26420.45637895259
2025-01-07,24613.976361289817,22764.62775300948,26463.324969570152
2025-01-08,24613.976361289817,22722.73060896625,26505.222113613385
2025-01-09,24613.976361289817,22681.741718081215,26546.21100449842
2025-01-10,24613.976361289817,22641.604454891585,26586.34826768805
2025-01-13,24613.976361289817,22602.267844162518,26625.684878417116
2025-01-14,24613.976361289817,22563.685801730993,26664.26692084864
2025-01-15,24613.976361289817,22525.816501664707,26702.136220914927
2025-01-16,24613.976361289817,22488.621844960107,26739.330877619526
2025-01-17,24613.976361289817,22452.06701054992,26775.885712029714
2025-01-20,24613.976361289817,22416.120073551665,26811.83264902797
2025-01-21,24613.976361289817,22380.75167884435,26847.201043735284
2025-01-22,24613.976361289817,22345.934760477085,26882.01796210255
2025-01-23,24613.976361289817,22311.644299281666,26916.308423297967
2025-01-24,24613.976361289817,22277.857112517566,26950.095610062068
2025-01-27,24613.976361289817,22244.55167052251,26983.401052057125
2025-01-28,24613.976361289817,22211.707936248335,27016.2447863313
2025-01-29,24613.976361289817,22179.307224284792,27048.64549829484
2025-01-30,24613.976361289817,22147.332076554314,27080.62064602532
2025-01-31,24613.976361289817,22115.76615232984,27112.186570249793
2025-02-03,24613.976361289817,22084.5941306087,27143.358591970933
2025-02-04,24613.976361289817,22053.80162318718,27174.151099392453
2025-02-05,24613.976361289817,22023.3750970362,27204.577625543432
2025-02-06,24613.976361289817,21993.301804789917,27234.650917789717
2025-02-07,24613.976361289817,21963.5697223343,27264.383000245332
